Brand,Series,Model
IdeaPad,Slim,5-14AKP10
IdeaPad,Slim,5-14ARP10
IdeaPad,Slim,5-14IAH10
IdeaPad,Slim,5-14IMH9
IdeaPad,Slim,5-14IRH10
IdeaPad,Slim,5-14IRH10R
IdeaPad,Slim,5-14IRU9
IdeaPad,Slim,5-14Q8X9
IdeaPad,Slim,5-15ARP10
IdeaPad,Slim,5-15IRH9
IdeaPad,Slim,5-15IRH9R
IdeaPad,Slim,5-15IRU9
IdeaPad,Slim,5-16ABR8
IdeaPad,Slim,5-16AHP10
IdeaPad,Slim,5-16AHP9
IdeaPad,Slim,5-16AKP10
IdeaPad,Slim,5-16ARP10
IdeaPad,Slim,5-16IAH10
IdeaPad,Slim,5-16IAH8
IdeaPad,Slim,5-16IMH9
IdeaPad,Slim,5-16IRH10
IdeaPad,Slim,5-16IRH10R
IdeaPad,Slim,5-16IRU9
IdeaPad,Pro,5-14AHP9
IdeaPad,Pro,5-14AHP9
IdeaPad,Pro,5-14AKP10
IdeaPad,Pro,5-14ASP10
IdeaPad,Pro,5-14IAH10
IdeaPad,Pro,5-14IMH9
IdeaPad,Pro,5-16AHP9
IdeaPad,Pro,5-16AKP10
IdeaPad,Pro,5-16ASP10
IdeaPad,Pro,5-16IAH10
IdeaPad,Pro,5-16IMH9
IdeaPad,Duet,3-11IAN8
IdeaPad,Duet,3-11IAN8
IdeaPad,Duet,5-12IRU8
IP,Duet,5-Chromebook-13Q7C6
IdeaPad,Flex,5-14ABR8
IdeaPad,Flex,5-14ABR8
IdeaPad,Flex,5-14IAU7
IdeaPad,Flex,5-16ABR8
IdeaPad,Flex,5-16IRU8
IP,Flex,3-Chrome-12IAN8
IP,Flex,3-Chrome-15IJL7
IP,Flex,5-Chrome-14IAU7-Plus
Legion,5,15APH9
Legion,5,15APH9
Legion,5,15ARP8
Legion,5,15IRX9
Legion,5,16IRX9
Legion,Slim,5-14APH8
Legion,Slim,5-14APH8
Legion,Slim,5-16AHP9
Legion,Slim,5-16APH8
Legion,Slim,5-16ARP9
Legion,Slim,5-16IRH8
Legion,5,Pro-16IAH7H
Legion,5,Pro-16IAH7H
Legion,Pro,5-16ARX8
Legion,Pro,5-16IRX8
Legion,Pro,5-16IRX9
Legion,7,16ARHA7
Legion,7,16ARHA7
Legion,7,16IAX7
